#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.
89,Overrated (feat. Kurt Travis),Strawberry Girls,2015-11-27,160,65,34,-7,6,4:26,4,35
90,Cardiac Arrest,Bad Suns,2014-07-01,94,88,62,-4,75,3:03,5,64
91,Stargazed,August Wilhelmsson,2016-06-17,98,19,14,-18,4,2:29,97,40
92,Release You,Tom Misch,2014-12-08,120,36,54,-13,20,3:53,33,51
93,Halo,The Pass,2012-11-06,104,90,62,-6,91,3:50,1,34
94,Science Fiction,Christine and the Queens,2015-10-16,120,57,89,-9,80,3:38,46,0
95,Tu es beau,Yelle,2007-08-31,108,77,93,-7,86,5:47,28,45
96,Let's Groove,"Earth, Wind & Fire",1981-11-14,125,65,87,-9,90,5:39,12,72
97,Warm Body,Cafuné,2015-12-11,135,80,65,-8,54,3:08,0,36
98,Lost in the Zoo,Goddamn Electric Bill,2006-08-02,105,43,57,-13,20,4:07,96,29
99,Hargrove,Zelliack,2012-02-01,125,57,57,-8,28,4:44,18,26
100,Stratosphere,Mutemath,2015-11-13,102,97,63,-5,39,3:55,2,36
101,May,American Wolf,2014-09-27,140,52,54,-9,18,7:25,20,33
102,European Festivity Nightmare,Turkuaz,2015-10-02,139,91,65,-6,78,4:37,4,37
103,Old & Gray,Maps & Atlases,2012,122,45,75,-11,45,5:44,67,31
104,Satie: 3 Gymnopédies: I. Lent et douloureux,Erik Satie,2002,78,0,38,-36,22,3:31,100,41
105,Feel It Still,Portugal. The Man,2017-03-02,79,80,78,-5,77,2:43,4,73
106,Morning Run,The Flashbulb,2015-04-02,178,12,49,-22,22,3:30,99,32
107,Hearing Blue,Little Tybee,2013-04-09,129,83,41,-8,69,5:38,7,37
108,Trying to Be Cool - Stripped Down Version,Phoenix,2013-01-01,111,57,65,-12,67,3:38,4,37
109,Fireflies,Random Forest,2015-10-18,98,42,46,-14,7,5:04,52,53
110,The Way,Fastball,1998-01-01,121,87,65,-6,90,4:17,15,65
111,"Cry,Die,Fly",Drew OfThe Drew,2013-10-28,146,62,65,-7,63,5:07,2,21
112,No Diggity,Blackstreet,1996-09-09,89,65,87,-5,67,5:05,30,81
113,"Sicilienne, Op. 78",Gabriel Fauré,2004,63,18,37,-25,15,3:35,99,0
114,シチリアーノ,Yoshiko Kishino,2008-04-16,178,20,38,-18,19,4:01,84,0
115,Summer Breeze,Seals and Crofts,1972,89,47,50,-10,35,3:24,61,70
116,Snack Attack,A Great Big Pile of Leaves,2013,127,91,62,-5,40,3:19,1,45
117,Perfect Pillow,Chon,2015-03-23,116,92,43,-5,56,3:36,1,49
118,Someday,Tilian,2013-03-18,92,71,58,-5,27,3:42,3,37
119,Oh My,Camino 84,2016-11-03,174,45,72,-7,76,3:15,34,0
120,Every Note,Mystery Skulls,2014-10-27,95,52,71,-6,34,5:08,43,43
121,Hijabi,Mona Haydar,2017-03-07,158,46,63,-9,50,3:19,46,41
122,Tisbury Lane,Mae,2004-11-16,124,32,74,-10,47,5:45,26,0
123,One Day With You,Pogo,2014-12-22,100,65,73,-8,40,2:58,40,37
124,1.9_6-nothingisreal.ra,Mac Quayle,2016-06-03,133,55,53,-11,7,2:48,14,22
125,1.0_8-whatsyourask.m4p,Mac Quayle,2016-06-03,136,39,53,-15,3,1:38,27,41
126,1.3_5-da3m0nsneverstop.caf,Mac Quayle,2016-06-03,120,35,76,-13,69,2:10,80,40
127,Score Screen,RAC,2015-09-11,120,73,70,-7,52,3:51,0,37
128,Find Your Cloud,Papadosio,2012-10-16,170,66,47,-9,30,8:37,6,32
129,Suga Suga,Baby Bash,2003-01-01,83,75,69,-3,47,4:03,64,64
130,Gold Chain,Black Light Dinner Party,2013-09-24,100,87,47,-2,46,4:05,0,32
131,No Scrubs,TLC,1999-02-23,93,68,74,-4,59,3:34,3,82
132,They Don't Care About Us,Michael Jackson,1995-06-16,90,91,86,-6,73,4:44,21,71
133,Dark Matter,Andrew Belle,2013-08-20,147,81,48,-5,19,5:18,9,0
134,Gates,Speak,2014-06-23,167,96,51,-2,29,3:43,6,36
135,Let Go,RAC,2014-01-01,110,84,75,-6,75,4:40,10,55
136,We Used to Be Friends,The Dandy Warhols,2005-09-27,105,63,71,-6,59,3:21,0,0
137,I Hear the Bells,Mike Doughty,2005-09-27,144,87,52,-7,64,4:19,33,0
138,I Know I Know I Know,Tegan and Sara,2005-09-27,117,64,71,-7,84,3:45,21,0
139,I Turn My Camera On,Spoon,2005-09-27,100,39,93,-9,77,3:36,2,0
140,No Sleep Tonight,The Faders,2005-09-27,202,92,38,-4,52,2:58,2,0
141,Dakota,Stereophonics,2005-09-27,147,90,50,-3,31,4:58,12,0
142,Sway,The Perishers,2005-09-27,137,47,49,-8,30,4:21,7,0
143,Long Time Coming,Delays,2005-09-27,117,71,47,-5,47,3:59,2,0
144,On Your Porch,The Format,2005-09-27,122,41,61,-11,51,5:13,63,0
145,Ocean City Girl,ivy,2005-09-27,96,45,63,-9,41,4:25,3,0
146,Momentary Thing,Something Happens,2005-09-27,110,59,58,-8,28,4:02,0,0
147,The Way You Are,46bliss,2005-09-27,90,64,60,-10,41,5:27,43,0
148,Lost and Found,Adrienne Pierce,2005-09-27,125,83,70,-6,94,3:39,24,0
149,Lily Dreams On,Cotton Mather,2005-09-27,174,52,24,-8,20,2:48,44,0
150,Naima,John Coltrane,1960,171,1,30,-20,16,4:18,95,62
151,I Feel It Coming,The Weeknd,2016-11-24,93,82,77,-6,59,4:29,43,72
152,Sorry,The Moth & The Flame,2013-11-05,136,63,66,-7,44,3:30,3,42
